timestamp_ms,timestamp_utc,duration_ms,billed_duration_ms,memory_size_mb,max_memory_used_mb,init_duration_ms,cold_start
1783813856202,2026-07-11T23:50:56.202000+00:00,50.56,51.0,3008,421,,0
1783813857166,2026-07-11T23:50:57.166000+00:00,20.1,21.0,3008,421,,0
1783813857173,2026-07-11T23:50:57.173000+00:00,22.6,23.0,3008,421,,0
1783813857177,2026-07-11T23:50:57.177000+00:00,51.08,52.0,3008,421,,0
1783813857186,2026-07-11T23:50:57.186000+00:00,42.19,43.0,3008,421,,0
1783813857200,2026-07-11T23:50:57.200000+00:00,40.91,41.0,3008,421,,0
1783813858141,2026-07-11T23:50:58.141000+00:00,18.59,19.0,3008,421,,0
1783813858144,2026-07-11T23:50:58.144000+00:00,20.81,21.0,3008,421,,0
1783813858151,2026-07-11T23:50:58.151000+00:00,27.13,28.0,3008,421,,0
1783813858176,2026-07-11T23:50:58.176000+00:00,49.7,50.0,3008,421,,0
1783813858180,2026-07-11T23:50:58.180000+00:00,12.84,13.0,3008,421,,0
1783813858197,2026-07-11T23:50:58.197000+00:00,27.77,28.0,3008,421,,0
1783813858204,2026-07-11T23:50:58.204000+00:00,94.11,95.0,3008,421,,0
1783813858208,2026-07-11T23:50:58.208000+00:00,42.89,43.0,3008,421,,0
1783813858214,2026-07-11T23:50:58.214000+00:00,51.39,52.0,3008,421,,0
1783813858281,2026-07-11T23:50:58.281000+00:00,113.25,114.0,3008,421,,0
1783813859130,2026-07-11T23:50:59.130000+00:00,19.33,20.0,3008,421,,0
1783813859133,2026-07-11T23:50:59.133000+00:00,9.82,10.0,3008,421,,0
1783813859134,2026-07-11T23:50:59.134000+00:00,24.75,25.0,3008,421,,0
1783813859137,2026-07-11T23:50:59.137000+00:00,25.46,26.0,3008,421,,0
1783813859142,2026-07-11T23:50:59.142000+00:00,19.13,20.0,3008,421,,0
1783813859143,2026-07-11T23:50:59.143000+00:00,31.61,32.0,3008,421,,0
1783813859144,2026-07-11T23:50:59.144000+00:00,31.02,32.0,3008,421,,0
1783813859154,2026-07-11T23:50:59.154000+00:00,30.26,31.0,3008,421,,0
1783813859165,2026-07-11T23:50:59.165000+00:00,42.71,43.0,3008,421,,0
1783813859172,2026-07-11T23:50:59.172000+00:00,43.68,44.0,3008,421,,0
1783813859187,2026-07-11T23:50:59.187000+00:00,14.15,15.0,3008,421,,0
1783813859188,2026-07-11T23:50:59.188000+00:00,19.27,20.0,3008,421,,0
1783813859195,2026-07-11T23:50:59.195000+00:00,23.72,24.0,3008,421,,0
1783813859196,2026-07-11T23:50:59.196000+00:00,27.51,28.0,3008,421,,0
1783813859202,2026-07-11T23:50:59.202000+00:00,33.85,34.0,3008,421,,0
1783813860114,2026-07-11T23:51:00.114000+00:00,10.22,11.0,3008,421,,0
1783813860143,2026-07-11T23:51:00.143000+00:00,9.93,10.0,3008,421,,0
1783813860149,2026-07-11T23:51:00.149000+00:00,10.14,11.0,3008,421,,0
1783813860159,2026-07-11T23:51:00.159000+00:00,25.12,26.0,3008,421,,0
1783813860164,2026-07-11T23:51:00.164000+00:00,18.09,19.0,3008,421,,0
1783813860173,2026-07-11T23:51:00.173000+00:00,25.82,26.0,3008,421,,0
1783813860180,2026-07-11T23:51:00.180000+00:00,32.87,33.0,3008,421,,0
1783813860183,2026-07-11T23:51:00.183000+00:00,35.91,36.0,3008,421,,0
1783813860187,2026-07-11T23:51:00.187000+00:00,35.89,36.0,3008,421,,0
1783813860192,2026-07-11T23:51:00.192000+00:00,55.79,56.0,3008,421,,0
1783813860200,2026-07-11T23:51:00.200000+00:00,42.49,43.0,3008,421,,0
1783813860212,2026-07-11T23:51:00.212000+00:00,37.65,38.0,3008,421,,0
1783813860239,2026-07-11T23:51:00.239000+00:00,16.54,17.0,3008,421,,0
1783813860253,2026-07-11T23:51:00.253000+00:00,34.45,35.0,3008,421,,0
1783813860255,2026-07-11T23:51:00.255000+00:00,31.05,32.0,3008,421,,0
1783813860298,2026-07-11T23:51:00.298000+00:00,77.4,78.0,3008,421,,0
1783813860312,2026-07-11T23:51:00.312000+00:00,78.76,79.0,3008,421,,0
1783813861137,2026-07-11T23:51:01.137000+00:00,30.24,31.0,3008,421,,0
1783813861142,2026-07-11T23:51:01.142000+00:00,22.57,23.0,3008,421,,0
1783813861146,2026-07-11T23:51:01.146000+00:00,21.0,21.0,3008,421,,0
1783813861147,2026-07-11T23:51:01.147000+00:00,31.61,32.0,3008,421,,0
1783813861147,2026-07-11T23:51:01.147000+00:00,33.94,34.0,3008,421,,0
1783813861173,2026-07-11T23:51:01.173000+00:00,24.95,25.0,3008,421,,0
1783813861174,2026-07-11T23:51:01.174000+00:00,24.15,25.0,3008,421,,0
1783813861177,2026-07-11T23:51:01.177000+00:00,28.11,29.0,3008,421,,0
1783813861182,2026-07-11T23:51:01.182000+00:00,59.96,60.0,3008,421,,0
1783813861182,2026-07-11T23:51:01.182000+00:00,34.37,35.0,3008,421,,0
1783813861185,2026-07-11T23:51:01.185000+00:00,39.69,40.0,3008,421,,0
1783813861226,2026-07-11T23:51:01.226000+00:00,25.8,26.0,3008,421,,0
