Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783814319,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783814320,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783814321,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783814322,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783814323,15,,Aggregated,0.000000,0.000000,66,66,66,68,68,68,68,68,68,68,68,5,5,66,65.85669020023488,63.781319000554504,68.09376399996836,33.0
1783814324,20,,Aggregated,0.000000,0.000000,62,65,66,66,66,68,68,68,68,68,68,15,15,62,57.88687593346064,41.287783999905514,68.09376399996836,33.0
1783814325,25,,Aggregated,0.000000,0.000000,61,64,65,66,66,66,68,68,68,68,68,30,30,57,49.22041130006013,15.590291999615147,68.09376399996836,33.0
1783814326,30,,Aggregated,1.250000,1.250000,53,64,65,66,70,73,74,74,74,74,74,50,50,53,48.16051308007445,15.590291999615147,73.9161609999428,33.0
1783814327,35,,Aggregated,3.000000,3.000000,48,57,65,66,68,71,74,74,74,74,74,75,75,48,43.25925556006647,14.966464000281121,73.9161609999428,33.0
1783814328,40,,Aggregated,5.000000,5.000000,36,53,64,65,68,71,74,74,7900,7900,7900,107,105,36,113.91660541128353,14.966464000281121,7910.040542000388,45.94392523364486
1783814329,45,,Aggregated,9.375000,9.375000,35,52,61,65,68,74,8800,9000,9300,9300,9300,161,149,35,311.0204139689779,14.966464000281121,9338.469040999371,82.21739130434783
1783814330,50,,Aggregated,11.888889,11.666667,33,52,64,66,71,120,8800,8900,9300,9300,9300,213,185,33,287.70055262444623,14.06326699998317,9338.469040999371,122.72300469483568
1783814331,50,,Aggregated,15.000000,13.800000,31,48,63,66,87,130,8800,9000,9300,9300,9300,263,218,31,275.8452013004164,13.658308999765723,9338.469040999371,151.0190114068441
1783814332,50,,Aggregated,19.600000,16.900000,30,47,63,66,100,130,8800,9000,10000,10000,10000,313,248,30,270.71429114060004,13.191287000154261,10080.2042790001,176.18210862619807
1783814333,50,,Aggregated,24.400000,20.000000,28,45,62,66,100,130,7900,9000,10000,10000,10000,360,275,28,240.7497532944568,13.191287000154261,10080.2042790001,196.65277777777777
1783814334,50,,Aggregated,29.300000,23.000000,28,46,59,66,110,130,140,8900,10000,10000,10000,413,304,28,215.59161732689012,13.191287000154261,10080.2042790001,217.52058111380146
1783814335,50,,Aggregated,33.700000,25.200000,27,44,59,66,110,130,140,8900,10000,10000,10000,462,330,27,197.56859458876755,13.191287000154261,10080.2042790001,232.10173160173161
1783814336,50,,Aggregated,37.400000,26.800000,27,43,58,66,110,130,140,8800,10000,10000,10000,512,356,27,182.55120096877096,12.391297000249324,10080.2042790001,244.73828125
1783814337,50,,Aggregated,40.700000,27.900000,27,42,57,66,120,130,140,8800,10000,10000,10000,560,384,26,170.7713307285989,12.391297000249324,10080.2042790001,251.3625
1783814338,50,,Aggregated,43.500000,28.600000,26,42,57,66,120,130,140,8800,10000,10000,10000,608,410,26,160.7399382138454,12.391297000249324,10080.2042790001,259.4194078947368
1783814339,50,,Aggregated,45.800000,28.800000,30,45,57,67,120,130,140,8800,17000,17000,17000,655,433,30,179.9277996962135,12.391297000249324,17371.895356000095,267.73587786259543
1783814340,50,,Aggregated,47.400000,28.500000,32,46,62,69,120,130,140,8900,19000,19000,19000,683,441,32,203.14176485654608,12.391297000249324,18682.998117999887,278.0453879941435
1783814341,50,,Aggregated,48.100000,27.800000,34,49,67,90,130,130,190,8800,19000,19000,19000,765,486,34,190.21995767583763,12.391297000249324,18682.998117999887,285.44183006535945
1783814342,50,,Aggregated,48.600000,27.200000,36,53,73,97,130,140,190,8800,19000,19000,19000,794,490,36,187.36577540556053,12.391297000249324,18682.998117999887,297.99874055415614
1783814343,50,,Aggregated,48.800000,26.300000,36,59,88,110,130,160,220,8800,19000,19000,19000,872,524,36,179.78368014910146,12.391297000249324,18682.998117999887,309.9770642201835
1783814344,50,,Aggregated,48.900000,25.600000,36,56,86,110,130,150,220,7900,19000,19000,19000,921,548,36,172.8220437470319,12.391297000249324,18682.998117999887,315.1454940282302
1783814345,50,,Aggregated,49.000000,24.200000,36,57,87,110,130,150,220,7900,19000,19000,19000,974,572,36,166.52585539837523,12.391297000249324,18682.998117999887,320.3952772073922
1783814346,50,,Aggregated,49.300000,24.100000,36,56,88,110,130,150,220,250,17000,19000,19000,1024,596,36,160.96576941115,12.391297000249324,18682.998117999887,324.0966796875
