timestamp_ms,timestamp_utc,duration_ms,billed_duration_ms,memory_size_mb,max_memory_used_mb,init_duration_ms,cold_start
1783814550894,2026-07-12T00:02:30.894000+00:00,19.74,20.0,3008,741,,0
1783814551890,2026-07-12T00:02:31.890000+00:00,17.1,18.0,3008,741,,0
1783814551927,2026-07-12T00:02:31.927000+00:00,18.1,19.0,3008,742,,0
1783814551927,2026-07-12T00:02:31.927000+00:00,18.01,19.0,3008,742,,0
1783814551929,2026-07-12T00:02:31.929000+00:00,17.49,18.0,3008,741,,0
1783814552007,2026-07-12T00:02:32.007000+00:00,103.74,104.0,3008,741,,0
1783814552870,2026-07-12T00:02:32.870000+00:00,17.52,18.0,3008,741,,0
1783814552903,2026-07-12T00:02:32.903000+00:00,15.93,16.0,3008,742,,0
1783814552904,2026-07-12T00:02:32.904000+00:00,17.87,18.0,3008,741,,0
1783814552905,2026-07-12T00:02:32.905000+00:00,17.54,18.0,3008,742,,0
1783814552949,2026-07-12T00:02:32.949000+00:00,18.19,19.0,3008,741,,0
1783814552957,2026-07-12T00:02:32.957000+00:00,23.01,24.0,3008,742,,0
1783814552984,2026-07-12T00:02:32.984000+00:00,98.48,99.0,3008,741,,0
1783814553019,2026-07-12T00:02:33.019000+00:00,89.18,90.0,3008,742,,0
1783814553023,2026-07-12T00:02:33.023000+00:00,94.48,95.0,3008,741,,0
1783814553028,2026-07-12T00:02:33.028000+00:00,100.66,101.0,3008,742,,0
1783814553870,2026-07-12T00:02:33.870000+00:00,18.23,19.0,3008,742,,0
1783814553890,2026-07-12T00:02:33.890000+00:00,18.38,19.0,3008,741,,0
1783814553892,2026-07-12T00:02:33.892000+00:00,17.95,18.0,3008,742,,0
1783814553893,2026-07-12T00:02:33.893000+00:00,18.47,19.0,3008,741,,0
1783814553903,2026-07-12T00:02:33.903000+00:00,14.81,15.0,3008,741,,0
1783814553908,2026-07-12T00:02:33.908000+00:00,14.24,15.0,3008,740,,0
1783814553908,2026-07-12T00:02:33.908000+00:00,16.23,17.0,3008,742,,0
1783814553919,2026-07-12T00:02:33.919000+00:00,32.15,33.0,3008,742,,0
1783814553991,2026-07-12T00:02:33.991000+00:00,113.86,114.0,3008,742,,0
1783814554007,2026-07-12T00:02:34.007000+00:00,117.49,118.0,3008,741,,0
1783814554009,2026-07-12T00:02:34.009000+00:00,69.76,70.0,3008,741,,0
1783814554022,2026-07-12T00:02:34.022000+00:00,86.23,87.0,3008,741,,0
1783814554022,2026-07-12T00:02:34.022000+00:00,89.89,90.0,3008,742,,0
1783814554023,2026-07-12T00:02:34.023000+00:00,89.91,90.0,3008,740,,0
1783814554040,2026-07-12T00:02:34.040000+00:00,104.17,105.0,3008,742,,0
1783814554880,2026-07-12T00:02:34.880000+00:00,25.08,26.0,3008,742,,0
1783814554886,2026-07-12T00:02:34.886000+00:00,14.5,15.0,3008,741,,0
1783814554886,2026-07-12T00:02:34.886000+00:00,15.7,16.0,3008,740,,0
1783814554890,2026-07-12T00:02:34.890000+00:00,15.85,16.0,3008,741,,0
1783814554890,2026-07-12T00:02:34.890000+00:00,16.76,17.0,3008,742,,0
1783814554948,2026-07-12T00:02:34.948000+00:00,14.61,15.0,3008,740,,0
1783814554950,2026-07-12T00:02:34.950000+00:00,18.01,19.0,3008,741,,0
1783814554951,2026-07-12T00:02:34.951000+00:00,16.59,17.0,3008,741,,0
1783814554951,2026-07-12T00:02:34.951000+00:00,17.23,18.0,3008,742,,0
1783814554952,2026-07-12T00:02:34.952000+00:00,18.41,19.0,3008,742,,0
1783814555000,2026-07-12T00:02:35+00:00,68.72,69.0,3008,742,,0
1783814555005,2026-07-12T00:02:35.005000+00:00,73.47,74.0,3008,740,,0
1783814555007,2026-07-12T00:02:35.007000+00:00,75.13,76.0,3008,741,,0
1783814555007,2026-07-12T00:02:35.007000+00:00,76.46,77.0,3008,742,,0
1783814555009,2026-07-12T00:02:35.009000+00:00,79.1,80.0,3008,741,,0
1783814555065,2026-07-12T00:02:35.065000+00:00,93.11,94.0,3008,742,,0
1783814555065,2026-07-12T00:02:35.065000+00:00,84.6,85.0,3008,740,,0
1783814555069,2026-07-12T00:02:35.069000+00:00,94.34,95.0,3008,741,,0
1783814555070,2026-07-12T00:02:35.070000+00:00,97.93,98.0,3008,742,,0
1783814555070,2026-07-12T00:02:35.070000+00:00,92.16,93.0,3008,741,,0
1783814555872,2026-07-12T00:02:35.872000+00:00,17.51,18.0,3008,741,,0
1783814555886,2026-07-12T00:02:35.886000+00:00,16.28,17.0,3008,742,,0
1783814555890,2026-07-12T00:02:35.890000+00:00,16.25,17.0,3008,741,,0
1783814555893,2026-07-12T00:02:35.893000+00:00,18.52,19.0,3008,742,,0
1783814555898,2026-07-12T00:02:35.898000+00:00,15.79,16.0,3008,740,,0
1783814555900,2026-07-12T00:02:35.900000+00:00,15.42,16.0,3008,740,,0
1783814555901,2026-07-12T00:02:35.901000+00:00,17.33,18.0,3008,741,,0
1783814555901,2026-07-12T00:02:35.901000+00:00,16.82,17.0,3008,742,,0
1783814555902,2026-07-12T00:02:35.902000+00:00,16.51,17.0,3008,742,,0
1783814555907,2026-07-12T00:02:35.907000+00:00,17.11,18.0,3008,741,,0
1783814555988,2026-07-12T00:02:35.988000+00:00,110.9,111.0,3008,741,,0
1783814556013,2026-07-12T00:02:36.013000+00:00,15.78,16.0,3008,741,,0
1783814556015,2026-07-12T00:02:36.015000+00:00,22.86,23.0,3008,740,,0
1783814556016,2026-07-12T00:02:36.016000+00:00,19.13,20.0,3008,742,,0
1783814556020,2026-07-12T00:02:36.020000+00:00,23.97,24.0,3008,742,,0
1783814556021,2026-07-12T00:02:36.021000+00:00,67.62,68.0,3008,741,,0
1783814556021,2026-07-12T00:02:36.021000+00:00,68.33,69.0,3008,742,,0
1783814556021,2026-07-12T00:02:36.021000+00:00,67.72,68.0,3008,742,,0
1783814556022,2026-07-12T00:02:36.022000+00:00,67.14,68.0,3008,740,,0
1783814556028,2026-07-12T00:02:36.028000+00:00,74.94,75.0,3008,741,,0
1783814556059,2026-07-12T00:02:36.059000+00:00,64.55,65.0,3008,741,,0
1783814556867,2026-07-12T00:02:36.867000+00:00,14.98,15.0,3008,741,,0
1783814556887,2026-07-12T00:02:36.887000+00:00,15.99,16.0,3008,741,,0
1783814556888,2026-07-12T00:02:36.888000+00:00,16.98,17.0,3008,742,,0
1783814556890,2026-07-12T00:02:36.890000+00:00,17.27,18.0,3008,740,,0
1783814556899,2026-07-12T00:02:36.899000+00:00,18.31,19.0,3008,741,,0
1783814556900,2026-07-12T00:02:36.900000+00:00,18.23,19.0,3008,742,,0
