timestamp_ms,timestamp_utc,duration_ms,billed_duration_ms,memory_size_mb,max_memory_used_mb,init_duration_ms,cold_start
1783813376200,2026-07-11T23:42:56.200000+00:00,31.69,32.0,3008,421,,0
1783813376217,2026-07-11T23:42:56.217000+00:00,20.28,21.0,3008,421,,0
1783813376219,2026-07-11T23:42:56.219000+00:00,22.82,23.0,3008,421,,0
1783813376222,2026-07-11T23:42:56.222000+00:00,25.02,26.0,3008,421,,0
1783813376222,2026-07-11T23:42:56.222000+00:00,10.23,11.0,3008,421,,0
1783813376223,2026-07-11T23:42:56.223000+00:00,23.87,24.0,3008,421,,0
1783813376225,2026-07-11T23:42:56.225000+00:00,28.09,29.0,3008,421,,0
1783813376236,2026-07-11T23:42:56.236000+00:00,44.86,45.0,3008,421,,0
1783813376256,2026-07-11T23:42:56.256000+00:00,48.25,49.0,3008,421,,0
1783813376256,2026-07-11T23:42:56.256000+00:00,63.3,64.0,3008,421,,0
1783813411682,2026-07-11T23:43:31.682000+00:00,19.8,20.0,3008,421,,0
1783813411682,2026-07-11T23:43:31.682000+00:00,11.23,12.0,3008,421,,0
1783813411683,2026-07-11T23:43:31.683000+00:00,11.02,12.0,3008,421,,0
1783813411693,2026-07-11T23:43:31.693000+00:00,27.07,28.0,3008,421,,0
1783813411695,2026-07-11T23:43:31.695000+00:00,27.67,28.0,3008,421,,0
1783813411696,2026-07-11T23:43:31.696000+00:00,30.03,31.0,3008,421,,0
1783813411698,2026-07-11T23:43:31.698000+00:00,29.86,30.0,3008,421,,0
1783813411702,2026-07-11T23:43:31.702000+00:00,29.65,30.0,3008,421,,0
1783813411713,2026-07-11T23:43:31.713000+00:00,19.92,20.0,3008,421,,0
1783813411717,2026-07-11T23:43:31.717000+00:00,32.57,33.0,3008,421,,0
