timestamp_ms,timestamp_utc,duration_ms,billed_duration_ms,memory_size_mb,max_memory_used_mb,init_duration_ms,cold_start
1783812844036,2026-07-11T23:34:04.036000+00:00,22.38,23.0,3008,421,,0
1783812844038,2026-07-11T23:34:04.038000+00:00,27.19,28.0,3008,421,,0
1783812844038,2026-07-11T23:34:04.038000+00:00,19.94,20.0,3008,421,,0
1783812844039,2026-07-11T23:34:04.039000+00:00,24.44,25.0,3008,421,,0
1783812844041,2026-07-11T23:34:04.041000+00:00,26.11,27.0,3008,421,,0
1783812844045,2026-07-11T23:34:04.045000+00:00,31.32,32.0,3008,421,,0
1783812844045,2026-07-11T23:34:04.045000+00:00,20.89,21.0,3008,421,,0
1783812844046,2026-07-11T23:34:04.046000+00:00,24.67,25.0,3008,421,,0
1783812844060,2026-07-11T23:34:04.060000+00:00,35.98,36.0,3008,421,,0
1783812844061,2026-07-11T23:34:04.061000+00:00,32.71,33.0,3008,421,,0
1783812879489,2026-07-11T23:34:39.489000+00:00,27.66,28.0,3008,421,,0
1783812879494,2026-07-11T23:34:39.494000+00:00,9.47,10.0,3008,421,,0
1783812879498,2026-07-11T23:34:39.498000+00:00,26.68,27.0,3008,421,,0
1783812879502,2026-07-11T23:34:39.502000+00:00,24.36,25.0,3008,421,,0
1783812879503,2026-07-11T23:34:39.503000+00:00,28.2,29.0,3008,421,,0
1783812879505,2026-07-11T23:34:39.505000+00:00,28.76,29.0,3008,421,,0
1783812879506,2026-07-11T23:34:39.506000+00:00,20.32,21.0,3008,421,,0
1783812879508,2026-07-11T23:34:39.508000+00:00,26.55,27.0,3008,421,,0
1783812879511,2026-07-11T23:34:39.511000+00:00,31.59,32.0,3008,421,,0
1783812879519,2026-07-11T23:34:39.519000+00:00,41.19,42.0,3008,421,,0
