timestamp_ms,timestamp_utc,duration_ms,billed_duration_ms,memory_size_mb,max_memory_used_mb,init_duration_ms,cold_start
1783812524768,2026-07-11T23:28:44.768000+00:00,24.1,25.0,3008,421,,0
1783812524769,2026-07-11T23:28:44.769000+00:00,23.01,24.0,3008,421,,0
1783812524782,2026-07-11T23:28:44.782000+00:00,22.39,23.0,3008,421,,0
1783812524787,2026-07-11T23:28:44.787000+00:00,28.39,29.0,3008,421,,0
1783812524797,2026-07-11T23:28:44.797000+00:00,24.17,25.0,3008,421,,0
1783812524798,2026-07-11T23:28:44.798000+00:00,18.41,19.0,3008,421,,0
1783812524800,2026-07-11T23:28:44.800000+00:00,20.2,21.0,3008,421,,0
1783812524804,2026-07-11T23:28:44.804000+00:00,18.16,19.0,3008,421,,0
1783812524809,2026-07-11T23:28:44.809000+00:00,30.88,31.0,3008,421,,0
1783812524815,2026-07-11T23:28:44.815000+00:00,21.34,22.0,3008,421,,0
1783812524815,2026-07-11T23:28:44.815000+00:00,29.99,30.0,3008,421,,0
1783812524822,2026-07-11T23:28:44.822000+00:00,39.36,40.0,3008,421,,0
1783812524824,2026-07-11T23:28:44.824000+00:00,40.38,41.0,3008,421,,0
1783812560182,2026-07-11T23:29:20.182000+00:00,26.43,27.0,3008,421,,0
