timestamp_ms,timestamp_utc,duration_ms,billed_duration_ms,memory_size_mb,max_memory_used_mb,init_duration_ms,cold_start
1783796478417,2026-07-11T19:01:18.417000+00:00,42.5,2652.0,3008,421,2609.08,1
1783796478477,2026-07-11T19:01:18.477000+00:00,28.26,29.0,3008,421,,0
1783796479488,2026-07-11T19:01:19.488000+00:00,26.9,27.0,3008,421,,0
1783796480498,2026-07-11T19:01:20.498000+00:00,42.02,43.0,3008,421,,0
1783796481469,2026-07-11T19:01:21.469000+00:00,7.25,8.0,3008,421,,0
1783796481597,2026-07-11T19:01:21.597000+00:00,21.47,22.0,3008,421,,0
1783796482460,2026-07-11T19:01:22.460000+00:00,21.37,22.0,3008,421,,0
1783796482620,2026-07-11T19:01:22.620000+00:00,22.93,23.0,3008,421,,0
1783796483460,2026-07-11T19:01:23.460000+00:00,20.42,21.0,3008,421,,0
1783796483588,2026-07-11T19:01:23.588000+00:00,22.3,23.0,3008,421,,0
1783796484464,2026-07-11T19:01:24.464000+00:00,20.33,21.0,3008,421,,0
1783796484588,2026-07-11T19:01:24.588000+00:00,26.97,27.0,3008,421,,0
1783796484610,2026-07-11T19:01:24.610000+00:00,8.33,9.0,3008,421,,0
1783796485442,2026-07-11T19:01:25.442000+00:00,9.55,10.0,3008,421,,0
1783796485586,2026-07-11T19:01:25.586000+00:00,21.68,22.0,3008,421,,0
1783796485632,2026-07-11T19:01:25.632000+00:00,41.71,42.0,3008,421,,0
1783796486449,2026-07-11T19:01:26.449000+00:00,9.07,10.0,3008,421,,0
1783796486579,2026-07-11T19:01:26.579000+00:00,8.8,9.0,3008,421,,0
1783796487457,2026-07-11T19:01:27.457000+00:00,18.02,19.0,3008,421,,0
1783796487586,2026-07-11T19:01:27.586000+00:00,17.06,18.0,3008,421,,0
1783796487645,2026-07-11T19:01:27.645000+00:00,38.24,39.0,3008,421,,0
1783796488426,2026-07-11T19:01:28.426000+00:00,11.1,2660.0,3008,421,2648.2,1
1783796488469,2026-07-11T19:01:28.469000+00:00,30.48,31.0,3008,421,,0
1783796488478,2026-07-11T19:01:28.478000+00:00,16.69,17.0,3008,421,,0
1783796488584,2026-07-11T19:01:28.584000+00:00,23.41,24.0,3008,421,,0
1783796488636,2026-07-11T19:01:28.636000+00:00,37.71,38.0,3008,421,,0
1783796489476,2026-07-11T19:01:29.476000+00:00,39.07,40.0,3008,421,,0
1783796489516,2026-07-11T19:01:29.516000+00:00,31.11,32.0,3008,421,,0
1783796489574,2026-07-11T19:01:29.574000+00:00,10.46,11.0,3008,421,,0
1783796489685,2026-07-11T19:01:29.685000+00:00,45.43,46.0,3008,421,,0
1783796490460,2026-07-11T19:01:30.460000+00:00,21.87,22.0,3008,421,,0
1783796490485,2026-07-11T19:01:30.485000+00:00,24.5,25.0,3008,421,,0
1783796490585,2026-07-11T19:01:30.585000+00:00,22.36,23.0,3008,421,,0
1783796490633,2026-07-11T19:01:30.633000+00:00,38.51,39.0,3008,421,,0
1783796490648,2026-07-11T19:01:30.648000+00:00,29.46,30.0,3008,421,,0
1783796491458,2026-07-11T19:01:31.458000+00:00,17.2,18.0,3008,421,,0
