Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783717146,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783717147,1,,Aggregated,0.000000,0.000000,72,72,72,72,72,72,72,72,72,72,72,1,0,71.94077900021512,71.94077900021512,71.94077900021512,71.94077900021512,694.0
1783717148,1,,Aggregated,0.000000,0.000000,72,72,72,72,72,72,72,72,72,72,72,2,0,71,71.42438949995267,70.90799999969022,71.94077900021512,764.5
1783717149,1,,Aggregated,0.000000,0.000000,71,71,72,72,72,72,72,72,72,72,72,3,0,71,68.3079646666253,62.07511499997054,71.94077900021512,804.3333333333334
1783717150,1,,Aggregated,1.000000,0.000000,71,71,72,72,72,72,72,72,72,72,72,4,0,62,66.04462900008912,59.254622000480595,71.94077900021512,759.0
1783717151,1,,Aggregated,1.000000,0.000000,62,71,71,72,72,72,72,72,72,72,72,5,0,62,61.87485080008628,45.195738000074925,71.94077900021512,734.2
1783717152,1,,Aggregated,1.000000,0.000000,62,62,71,71,72,72,72,72,72,72,72,6,0,59,60.74331166670769,45.195738000074925,71.94077900021512,735.8333333333334
1783717153,2,,Aggregated,1.000000,0.000000,66,71,72,72,99,99,99,99,99,99,99,8,0,62,66.19621900006223,45.195738000074925,99.36208999988594,715.25
1783717154,2,,Aggregated,1.000000,0.000000,62,66,71,72,99,99,99,99,99,99,99,9,0,62,64.03286544446019,45.195738000074925,99.36208999988594,711.8888888888889
1783717155,2,,Aggregated,1.000000,0.000000,62,66,72,72,99,1700,1700,1700,1700,1700,1700,12,0,59,197.6717256666234,45.195738000074925,1703.422875999422,737.75
1783717156,3,,Aggregated,1.142857,0.000000,59,62,71,72,99,1700,1700,1700,1700,1700,1700,15,0,59,168.16697946669592,44.899385000462644,1703.422875999422,718.7333333333333
