timestamp_ms,timestamp_utc,duration_ms,billed_duration_ms,memory_size_mb,max_memory_used_mb,init_duration_ms,cold_start
1783796910301,2026-07-11T19:08:30.301000+00:00,132.05,8320.0,3008,713,8187.72,1
1783796910384,2026-07-11T19:08:30.384000+00:00,40.12,41.0,3008,714,,0
1783796910773,2026-07-11T19:08:30.773000+00:00,29.75,30.0,3008,715,,0
1783796911348,2026-07-11T19:08:31.348000+00:00,24.6,25.0,3008,717,,0
1783796911766,2026-07-11T19:08:31.766000+00:00,34.01,35.0,3008,718,,0
1783796912338,2026-07-11T19:08:32.338000+00:00,21.14,22.0,3008,718,,0
1783796912754,2026-07-11T19:08:32.754000+00:00,26.42,27.0,3008,719,,0
1783796913338,2026-07-11T19:08:33.338000+00:00,15.78,16.0,3008,719,,0
1783796913746,2026-07-11T19:08:33.746000+00:00,18.85,19.0,3008,719,,0
1783796913863,2026-07-11T19:08:33.863000+00:00,112.34,113.0,3008,719,,0
1783796914340,2026-07-11T19:08:34.340000+00:00,14.57,15.0,3008,719,,0
1783796914748,2026-07-11T19:08:34.748000+00:00,18.02,19.0,3008,720,,0
1783796915341,2026-07-11T19:08:35.341000+00:00,21.8,22.0,3008,720,,0
1783796915742,2026-07-11T19:08:35.742000+00:00,14.55,15.0,3008,720,,0
1783796916336,2026-07-11T19:08:36.336000+00:00,14.58,15.0,3008,720,,0
1783796916480,2026-07-11T19:08:36.480000+00:00,169.59,8504.0,3008,714,8333.78,1
1783796916575,2026-07-11T19:08:36.575000+00:00,78.51,79.0,3008,715,,0
1783796916753,2026-07-11T19:08:36.753000+00:00,23.29,24.0,3008,715,,0
1783796916787,2026-07-11T19:08:36.787000+00:00,40.31,41.0,3008,721,,0
1783796917332,2026-07-11T19:08:37.332000+00:00,15.2,16.0,3008,721,,0
1783796917519,2026-07-11T19:08:37.519000+00:00,22.91,23.0,3008,722,,0
1783796917760,2026-07-11T19:08:37.760000+00:00,29.07,30.0,3008,723,,0
1783796917809,2026-07-11T19:08:37.809000+00:00,68.42,69.0,3008,718,,0
1783796918342,2026-07-11T19:08:38.342000+00:00,22.23,23.0,3008,718,,0
1783796918511,2026-07-11T19:08:38.511000+00:00,15.65,16.0,3008,719,,0
1783796918751,2026-07-11T19:08:38.751000+00:00,21.11,22.0,3008,719,,0
1783796918756,2026-07-11T19:08:38.756000+00:00,16.46,17.0,3008,724,,0
1783796919339,2026-07-11T19:08:39.339000+00:00,20.64,21.0,3008,724,,0
1783796919522,2026-07-11T19:08:39.522000+00:00,19.7,20.0,3008,724,,0
1783796919746,2026-07-11T19:08:39.746000+00:00,21.25,22.0,3008,725,,0
1783796919760,2026-07-11T19:08:39.760000+00:00,23.9,24.0,3008,719,,0
1783796919867,2026-07-11T19:08:39.867000+00:00,115.28,116.0,3008,726,,0
1783796920340,2026-07-11T19:08:40.340000+00:00,16.8,17.0,3008,726,,0
1783796920531,2026-07-11T19:08:40.531000+00:00,32.43,33.0,3008,728,,0
1783796920746,2026-07-11T19:08:40.746000+00:00,17.51,18.0,3008,729,,0
1783796920782,2026-07-11T19:08:40.782000+00:00,48.36,49.0,3008,721,,0
1783796920861,2026-07-11T19:08:40.861000+00:00,109.97,110.0,3008,729,,0
1783796921339,2026-07-11T19:08:41.339000+00:00,16.17,17.0,3008,729,,0
1783796921514,2026-07-11T19:08:41.514000+00:00,16.17,17.0,3008,729,,0
1783796921744,2026-07-11T19:08:41.744000+00:00,19.33,20.0,3008,729,,0
1783796921755,2026-07-11T19:08:41.755000+00:00,15.04,16.0,3008,721,,0
1783796921864,2026-07-11T19:08:41.864000+00:00,113.34,114.0,3008,730,,0
1783796922093,2026-07-11T19:08:42.093000+00:00,143.78,8157.0,3008,713,8012.7,1
1783796922172,2026-07-11T19:08:42.172000+00:00,62.26,63.0,3008,714,,0
1783796922344,2026-07-11T19:08:42.344000+00:00,23.99,24.0,3008,715,,0
1783796922540,2026-07-11T19:08:42.540000+00:00,39.98,40.0,3008,716,,0
1783796922746,2026-07-11T19:08:42.746000+00:00,19.55,20.0,3008,716,,0
1783796922748,2026-07-11T19:08:42.748000+00:00,15.88,16.0,3008,730,,0
1783796922773,2026-07-11T19:08:42.773000+00:00,29.85,30.0,3008,722,,0
1783796922864,2026-07-11T19:08:42.864000+00:00,108.89,109.0,3008,730,,0
1783796923136,2026-07-11T19:08:43.136000+00:00,16.13,17.0,3008,730,,0
1783796923338,2026-07-11T19:08:43.338000+00:00,15.25,16.0,3008,730,,0
1783796923517,2026-07-11T19:08:43.517000+00:00,16.19,17.0,3008,730,,0
1783796923749,2026-07-11T19:08:43.749000+00:00,19.25,20.0,3008,730,,0
1783796923752,2026-07-11T19:08:43.752000+00:00,18.57,19.0,3008,722,,0
1783796923761,2026-07-11T19:08:43.761000+00:00,15.7,16.0,3008,717,,0
1783796924160,2026-07-11T19:08:44.160000+00:00,49.09,50.0,3008,718,,0
1783796924338,2026-07-11T19:08:44.338000+00:00,18.98,19.0,3008,718,,0
1783796924527,2026-07-11T19:08:44.527000+00:00,29.7,30.0,3008,719,,0
1783796924755,2026-07-11T19:08:44.755000+00:00,16.16,17.0,3008,722,,0
1783796924758,2026-07-11T19:08:44.758000+00:00,32.45,33.0,3008,721,,0
1783796924761,2026-07-11T19:08:44.761000+00:00,16.47,17.0,3008,730,,0
1783796925129,2026-07-11T19:08:45.129000+00:00,18.45,19.0,3008,730,,0
1783796925337,2026-07-11T19:08:45.337000+00:00,19.72,20.0,3008,730,,0
1783796925538,2026-07-11T19:08:45.538000+00:00,38.79,39.0,3008,730,,0
1783796925747,2026-07-11T19:08:45.747000+00:00,18.4,19.0,3008,730,,0
1783796925767,2026-07-11T19:08:45.767000+00:00,22.2,23.0,3008,723,,0
1783796925772,2026-07-11T19:08:45.772000+00:00,38.53,39.0,3008,722,,0
1783796925868,2026-07-11T19:08:45.868000+00:00,108.05,109.0,3008,731,,0
1783796926125,2026-07-11T19:08:46.125000+00:00,16.41,17.0,3008,731,,0
1783796926340,2026-07-11T19:08:46.340000+00:00,15.84,16.0,3008,731,,0
1783796926514,2026-07-11T19:08:46.514000+00:00,16.63,17.0,3008,731,,0
1783796926747,2026-07-11T19:08:46.747000+00:00,17.56,18.0,3008,732,,0
1783796926757,2026-07-11T19:08:46.757000+00:00,15.95,16.0,3008,723,,0
1783796926763,2026-07-11T19:08:46.763000+00:00,25.05,26.0,3008,723,,0
1783796926864,2026-07-11T19:08:46.864000+00:00,112.01,113.0,3008,732,,0
1783796927126,2026-07-11T19:08:47.126000+00:00,16.87,17.0,3008,732,,0
1783796927345,2026-07-11T19:08:47.345000+00:00,16.03,17.0,3008,732,,0
1783796927515,2026-07-11T19:08:47.515000+00:00,15.08,16.0,3008,732,,0
1783796927750,2026-07-11T19:08:47.750000+00:00,19.56,20.0,3008,732,,0
1783796927754,2026-07-11T19:08:47.754000+00:00,16.24,17.0,3008,723,,0
1783796927759,2026-07-11T19:08:47.759000+00:00,15.75,16.0,3008,723,,0
1783796928135,2026-07-11T19:08:48.135000+00:00,23.85,24.0,3008,724,,0
1783796928358,2026-07-11T19:08:48.358000+00:00,38.59,39.0,3008,725,,0
1783796928514,2026-07-11T19:08:48.514000+00:00,16.76,17.0,3008,725,,0
1783796928745,2026-07-11T19:08:48.745000+00:00,15.15,16.0,3008,725,,0
1783796928753,2026-07-11T19:08:48.753000+00:00,17.36,18.0,3008,723,,0
1783796928758,2026-07-11T19:08:48.758000+00:00,15.39,16.0,3008,732,,0
1783796928874,2026-07-11T19:08:48.874000+00:00,107.59,108.0,3008,732,,0
1783796929130,2026-07-11T19:08:49.130000+00:00,16.0,16.0,3008,732,,0
1783796929334,2026-07-11T19:08:49.334000+00:00,15.6,16.0,3008,732,,0
1783796929514,2026-07-11T19:08:49.514000+00:00,15.78,16.0,3008,732,,0
1783796929745,2026-07-11T19:08:49.745000+00:00,16.36,17.0,3008,732,,0
1783796929765,2026-07-11T19:08:49.765000+00:00,25.25,26.0,3008,726,,0
1783796929773,2026-07-11T19:08:49.773000+00:00,40.94,41.0,3008,725,,0
1783796929792,2026-07-11T19:08:49.792000+00:00,140.06,8838.0,3008,712,8697.32,1
1783796929864,2026-07-11T19:08:49.864000+00:00,111.75,112.0,3008,732,,0
1783796929901,2026-07-11T19:08:49.901000+00:00,93.42,94.0,3008,715,,0
1783796930126,2026-07-11T19:08:50.126000+00:00,17.71,18.0,3008,715,,0
1783796930352,2026-07-11T19:08:50.352000+00:00,35.78,36.0,3008,716,,0
1783796930543,2026-07-11T19:08:50.543000+00:00,41.0,42.0,3008,719,,0
1783796930749,2026-07-11T19:08:50.749000+00:00,19.5,20.0,3008,719,,0
1783796930751,2026-07-11T19:08:50.751000+00:00,16.5,17.0,3008,732,,0
1783796930769,2026-07-11T19:08:50.769000+00:00,29.9,30.0,3008,725,,0
1783796930869,2026-07-11T19:08:50.869000+00:00,112.43,113.0,3008,732,,0
1783796930884,2026-07-11T19:08:50.884000+00:00,77.06,78.0,3008,725,,0
1783796931129,2026-07-11T19:08:51.129000+00:00,17.61,18.0,3008,725,,0
1783796931338,2026-07-11T19:08:51.338000+00:00,17.85,18.0,3008,725,,0
1783796931529,2026-07-11T19:08:51.529000+00:00,23.96,24.0,3008,726,,0
1783796931751,2026-07-11T19:08:51.751000+00:00,16.53,17.0,3008,732,,0
1783796931758,2026-07-11T19:08:51.758000+00:00,29.32,30.0,3008,727,,0
1783796931760,2026-07-11T19:08:51.760000+00:00,16.5,17.0,3008,720,,0
1783796931782,2026-07-11T19:08:51.782000+00:00,29.18,30.0,3008,727,,0
1783796931877,2026-07-11T19:08:51.877000+00:00,106.93,107.0,3008,720,,0
1783796931903,2026-07-11T19:08:51.903000+00:00,74.37,75.0,3008,727,,0
1783796932127,2026-07-11T19:08:52.127000+00:00,18.7,19.0,3008,728,,0
1783796932336,2026-07-11T19:08:52.336000+00:00,14.46,15.0,3008,728,,0
1783796932518,2026-07-11T19:08:52.518000+00:00,21.93,22.0,3008,728,,0
1783796932748,2026-07-11T19:08:52.748000+00:00,16.48,17.0,3008,728,,0
1783796932755,2026-07-11T19:08:52.755000+00:00,15.46,16.0,3008,727,,0
1783796932767,2026-07-11T19:08:52.767000+00:00,16.84,17.0,3008,732,,0
1783796932777,2026-07-11T19:08:52.777000+00:00,41.87,42.0,3008,721,,0
1783796932866,2026-07-11T19:08:52.866000+00:00,109.61,110.0,3008,729,,0
1783796932899,2026-07-11T19:08:52.899000+00:00,89.23,90.0,3008,721,,0
1783796933130,2026-07-11T19:08:53.130000+00:00,17.54,18.0,3008,722,,0
1783796933352,2026-07-11T19:08:53.352000+00:00,31.27,32.0,3008,722,,0
1783796933516,2026-07-11T19:08:53.516000+00:00,20.08,21.0,3008,723,,0
1783796933749,2026-07-11T19:08:53.749000+00:00,15.17,16.0,3008,729,,0
1783796933756,2026-07-11T19:08:53.756000+00:00,16.09,17.0,3008,732,,0
1783796933759,2026-07-11T19:08:53.759000+00:00,28.18,29.0,3008,723,,0
1783796933773,2026-07-11T19:08:53.773000+00:00,18.3,19.0,3008,727,,0
1783796933864,2026-07-11T19:08:53.864000+00:00,107.49,108.0,3008,729,,0
1783796933892,2026-07-11T19:08:53.892000+00:00,77.67,78.0,3008,727,,0
1783796934138,2026-07-11T19:08:54.138000+00:00,27.82,28.0,3008,729,,0
1783796934349,2026-07-11T19:08:54.349000+00:00,30.2,31.0,3008,730,,0
1783796934523,2026-07-11T19:08:54.523000+00:00,27.93,28.0,3008,730,,0
1783796934745,2026-07-11T19:08:54.745000+00:00,17.85,18.0,3008,730,,0
1783796934755,2026-07-11T19:08:54.755000+00:00,20.64,21.0,3008,730,,0
1783796934761,2026-07-11T19:08:54.761000+00:00,20.15,21.0,3008,723,,0
1783796934771,2026-07-11T19:08:54.771000+00:00,17.93,18.0,3008,732,,0
1783796934840,2026-07-11T19:08:54.840000+00:00,90.15,91.0,3008,730,,0
1783796934882,2026-07-11T19:08:54.882000+00:00,111.32,112.0,3008,724,,0
1783796934889,2026-07-11T19:08:54.889000+00:00,80.03,81.0,3008,732,,0
1783796935127,2026-07-11T19:08:55.127000+00:00,15.85,16.0,3008,732,,0
1783796935182,2026-07-11T19:08:55.182000+00:00,124.37,8233.0,3008,712,8107.93,1
1783796935290,2026-07-11T19:08:55.290000+00:00,89.09,90.0,3008,715,,0
1783796935396,2026-07-11T19:08:55.396000+00:00,75.26,76.0,3008,717,,0
1783796935513,2026-07-11T19:08:55.513000+00:00,15.91,16.0,3008,717,,0
1783796935757,2026-07-11T19:08:55.757000+00:00,19.22,20.0,3008,733,,0
1783796935760,2026-07-11T19:08:55.760000+00:00,21.46,22.0,3008,718,,0
1783796935761,2026-07-11T19:08:55.761000+00:00,21.99,22.0,3008,724,,0
1783796935767,2026-07-11T19:08:55.767000+00:00,15.15,16.0,3008,730,,0
1783796935774,2026-07-11T19:08:55.774000+00:00,18.8,19.0,3008,730,,0
1783796935873,2026-07-11T19:08:55.873000+00:00,111.89,112.0,3008,733,,0
1783796935894,2026-07-11T19:08:55.894000+00:00,79.89,80.0,3008,730,,0
1783796936140,2026-07-11T19:08:56.140000+00:00,28.51,29.0,3008,730,,0
1783796936253,2026-07-11T19:08:56.253000+00:00,48.55,49.0,3008,730,,0
1783796936362,2026-07-11T19:08:56.362000+00:00,43.08,44.0,3008,730,,0
1783796936519,2026-07-11T19:08:56.519000+00:00,17.59,18.0,3008,730,,0
1783796936751,2026-07-11T19:08:56.751000+00:00,14.94,15.0,3008,733,,0
1783796936755,2026-07-11T19:08:56.755000+00:00,23.99,24.0,3008,730,,0
1783796936757,2026-07-11T19:08:56.757000+00:00,16.57,17.0,3008,730,,0
1783796936765,2026-07-11T19:08:56.765000+00:00,14.23,15.0,3008,718,,0
