timestamp_ms,timestamp_utc,duration_ms,billed_duration_ms,memory_size_mb,max_memory_used_mb,init_duration_ms,cold_start
1783810861667,2026-07-11T23:01:01.667000+00:00,10.16,11.0,3008,421,,0
1783810861694,2026-07-11T23:01:01.694000+00:00,16.66,17.0,3008,421,,0
1783810861699,2026-07-11T23:01:01.699000+00:00,16.41,17.0,3008,421,,0
1783810861700,2026-07-11T23:01:01.700000+00:00,16.88,17.0,3008,421,,0
1783810861715,2026-07-11T23:01:01.715000+00:00,26.79,27.0,3008,421,,0
1783810861716,2026-07-11T23:01:01.716000+00:00,38.47,39.0,3008,421,,0
1783810861737,2026-07-11T23:01:01.737000+00:00,18.88,19.0,3008,421,,0
1783810861742,2026-07-11T23:01:01.742000+00:00,20.55,21.0,3008,421,,0
1783810861759,2026-07-11T23:01:01.759000+00:00,38.53,39.0,3008,421,,0
1783810861761,2026-07-11T23:01:01.761000+00:00,40.22,41.0,3008,421,,0
1783810861762,2026-07-11T23:01:01.762000+00:00,47.96,48.0,3008,421,,0
1783810861772,2026-07-11T23:01:01.772000+00:00,43.3,44.0,3008,421,,0
1783810861773,2026-07-11T23:01:01.773000+00:00,48.13,49.0,3008,421,,0
1783810861777,2026-07-11T23:01:01.777000+00:00,22.14,23.0,3008,421,,0
1783810861779,2026-07-11T23:01:01.779000+00:00,16.38,17.0,3008,421,,0
1783810861793,2026-07-11T23:01:01.793000+00:00,31.32,32.0,3008,421,,0
1783810861794,2026-07-11T23:01:01.794000+00:00,25.15,26.0,3008,421,,0
1783810861796,2026-07-11T23:01:01.796000+00:00,28.74,29.0,3008,421,,0
1783810861805,2026-07-11T23:01:01.805000+00:00,36.95,37.0,3008,421,,0
1783810861806,2026-07-11T23:01:01.806000+00:00,50.73,51.0,3008,421,,0
1783810861810,2026-07-11T23:01:01.810000+00:00,40.99,41.0,3008,421,,0
1783810861810,2026-07-11T23:01:01.810000+00:00,25.44,26.0,3008,421,,0
1783810861816,2026-07-11T23:01:01.816000+00:00,27.25,28.0,3008,421,,0
1783810861820,2026-07-11T23:01:01.820000+00:00,28.7,29.0,3008,421,,0
1783810861821,2026-07-11T23:01:01.821000+00:00,31.84,32.0,3008,421,,0
1783810861876,2026-07-11T23:01:01.876000+00:00,27.76,28.0,3008,421,,0
