timestamp_ms,timestamp_utc,duration_ms,billed_duration_ms,memory_size_mb,max_memory_used_mb,init_duration_ms,cold_start
1783810971651,2026-07-11T23:02:51.651000+00:00,133.46,8723.0,3008,712,8588.95,1
1783810971713,2026-07-11T23:02:51.713000+00:00,46.86,47.0,3008,714,,0
1783810971822,2026-07-11T23:02:51.822000+00:00,89.43,90.0,3008,716,,0
1783810972686,2026-07-11T23:02:52.686000+00:00,17.58,18.0,3008,717,,0
1783810972810,2026-07-11T23:02:52.810000+00:00,90.32,91.0,3008,718,,0
1783810973481,2026-07-11T23:02:53.481000+00:00,126.67,8552.0,3008,713,8425.27,1
1783810973594,2026-07-11T23:02:53.594000+00:00,98.23,99.0,3008,714,,0
1783810973695,2026-07-11T23:02:53.695000+00:00,29.2,30.0,3008,715,,0
1783810973753,2026-07-11T23:02:53.753000+00:00,19.61,20.0,3008,719,,0
1783810973819,2026-07-11T23:02:53.819000+00:00,96.84,97.0,3008,716,,0
1783810973875,2026-07-11T23:02:53.875000+00:00,101.75,102.0,3008,720,,0
1783810973881,2026-07-11T23:02:53.881000+00:00,141.37,8839.0,3008,712,8697.53,1
1783810973992,2026-07-11T23:02:53.992000+00:00,92.51,93.0,3008,715,,0
1783810974446,2026-07-11T23:02:54.446000+00:00,132.51,8512.0,3008,713,8378.67,1
1783810974542,2026-07-11T23:02:54.542000+00:00,24.6,25.0,3008,713,,0
1783810974549,2026-07-11T23:02:54.549000+00:00,50.69,51.0,3008,717,,0
1783810974729,2026-07-11T23:02:54.729000+00:00,57.41,58.0,3008,719,,0
1783810974757,2026-07-11T23:02:54.757000+00:00,19.32,20.0,3008,720,,0
1783810974759,2026-07-11T23:02:54.759000+00:00,37.93,38.0,3008,715,,0
1783810974760,2026-07-11T23:02:54.760000+00:00,21.65,22.0,3008,717,,0
1783810974850,2026-07-11T23:02:54.850000+00:00,108.27,109.0,3008,719,,0
1783810974877,2026-07-11T23:02:54.877000+00:00,106.49,107.0,3008,717,,0
1783810974879,2026-07-11T23:02:54.879000+00:00,102.92,103.0,3008,716,,0
1783810975005,2026-07-11T23:02:55.005000+00:00,102.64,103.0,3008,720,,0
1783810975006,2026-07-11T23:02:55.006000+00:00,164.64,9072.0,3008,713,8906.93,1
1783810975115,2026-07-11T23:02:55.115000+00:00,92.12,93.0,3008,714,,0
1783810975368,2026-07-11T23:02:55.368000+00:00,128.49,8342.0,3008,713,8213.18,1
