timestamp_ms,timestamp_utc,duration_ms,billed_duration_ms,memory_size_mb,max_memory_used_mb,init_duration_ms,cold_start
1783800547252,2026-07-11T20:09:07.252000+00:00,28.51,2844.0,1024,421,2814.86,1
1783800564788,2026-07-11T20:09:24.788000+00:00,73.89,74.0,1024,421,,0
1783800565908,2026-07-11T20:09:25.908000+00:00,77.94,78.0,1024,421,,0
1783800567048,2026-07-11T20:09:27.048000+00:00,103.12,104.0,1024,421,,0
1783800571950,2026-07-11T20:09:31.950000+00:00,12.99,13.0,1024,421,,0
1783800572968,2026-07-11T20:09:32.968000+00:00,43.13,44.0,1024,421,,0
1783800573968,2026-07-11T20:09:33.968000+00:00,49.75,50.0,1024,421,,0
1783800574088,2026-07-11T20:09:34.088000+00:00,114.57,115.0,1024,421,,0
1783800574933,2026-07-11T20:09:34.933000+00:00,9.12,10.0,1024,421,,0
1783800574968,2026-07-11T20:09:34.968000+00:00,30.11,31.0,1024,421,,0
1783800576008,2026-07-11T20:09:36.008000+00:00,81.44,82.0,1024,421,,0
1783800576088,2026-07-11T20:09:36.088000+00:00,75.16,76.0,1024,421,,0
1783800576940,2026-07-11T20:09:36.940000+00:00,92.34,2792.0,1024,421,2699.43,1
1783800576968,2026-07-11T20:09:36.968000+00:00,57.83,58.0,1024,421,,0
1783800576998,2026-07-11T20:09:36.998000+00:00,52.99,53.0,1024,421,,0
1783800577068,2026-07-11T20:09:37.068000+00:00,94.95,95.0,1024,421,,0
1783800577949,2026-07-11T20:09:37.949000+00:00,24.83,25.0,1024,421,,0
1783800577972,2026-07-11T20:09:37.972000+00:00,34.85,2837.0,1024,421,2801.29,1
1783800577988,2026-07-11T20:09:37.988000+00:00,33.66,34.0,1024,421,,0
1783800577996,2026-07-11T20:09:37.996000+00:00,64.53,65.0,1024,421,,0
1783800578013,2026-07-11T20:09:38.013000+00:00,26.73,27.0,1024,421,,0
1783800578889,2026-07-11T20:09:38.889000+00:00,17.06,2754.0,1024,421,2736.68,1
1783800578935,2026-07-11T20:09:38.935000+00:00,14.32,15.0,1024,421,,0
1783800578996,2026-07-11T20:09:38.996000+00:00,61.27,62.0,1024,421,,0
1783800579005,2026-07-11T20:09:39.005000+00:00,96.98,97.0,1024,421,,0
1783800579028,2026-07-11T20:09:39.028000+00:00,92.36,93.0,1024,421,,0
1783800579092,2026-07-11T20:09:39.092000+00:00,146.85,147.0,1024,421,,0
1783800579954,2026-07-11T20:09:39.954000+00:00,41.43,2785.0,1024,421,2743.31,1
1783800579972,2026-07-11T20:09:39.972000+00:00,61.5,62.0,1024,421,,0
1783800579988,2026-07-11T20:09:39.988000+00:00,69.56,70.0,1024,421,,0
1783800579995,2026-07-11T20:09:39.995000+00:00,30.1,31.0,1024,421,,0
1783800580006,2026-07-11T20:09:40.006000+00:00,80.56,81.0,1024,421,,0
1783800580016,2026-07-11T20:09:40.016000+00:00,87.34,88.0,1024,421,,0
1783800580034,2026-07-11T20:09:40.034000+00:00,57.08,58.0,1024,421,,0
1783800580109,2026-07-11T20:09:40.109000+00:00,116.04,117.0,1024,421,,0
1783800580936,2026-07-11T20:09:40.936000+00:00,24.25,2784.0,1024,421,2759.62,1
1783800580972,2026-07-11T20:09:40.972000+00:00,46.7,47.0,1024,421,,0
1783800580976,2026-07-11T20:09:40.976000+00:00,48.2,49.0,1024,421,,0
1783800580986,2026-07-11T20:09:40.986000+00:00,54.87,55.0,1024,421,,0
1783800580988,2026-07-11T20:09:40.988000+00:00,77.75,78.0,1024,421,,0
1783800581013,2026-07-11T20:09:41.013000+00:00,78.69,79.0,1024,421,,0
1783800581033,2026-07-11T20:09:41.033000+00:00,56.09,57.0,1024,421,,0
1783800581112,2026-07-11T20:09:41.112000+00:00,145.49,146.0,1024,421,,0
1783800581954,2026-07-11T20:09:41.954000+00:00,34.76,35.0,1024,421,,0
1783800581992,2026-07-11T20:09:41.992000+00:00,83.47,84.0,1024,421,,0
1783800581997,2026-07-11T20:09:41.997000+00:00,54.91,55.0,1024,421,,0
1783800582008,2026-07-11T20:09:42.008000+00:00,62.01,63.0,1024,421,,0
1783800582025,2026-07-11T20:09:42.025000+00:00,73.88,74.0,1024,421,,0
1783800582036,2026-07-11T20:09:42.036000+00:00,80.06,81.0,1024,421,,0
1783800582095,2026-07-11T20:09:42.095000+00:00,131.47,132.0,1024,421,,0
1783800582899,2026-07-11T20:09:42.899000+00:00,33.67,2763.0,1024,421,2729.0,1
1783800582937,2026-07-11T20:09:42.937000+00:00,24.77,25.0,1024,421,,0
1783800582972,2026-07-11T20:09:42.972000+00:00,51.27,52.0,1024,421,,0
1783800582973,2026-07-11T20:09:42.973000+00:00,38.25,39.0,1024,421,,0
1783800582975,2026-07-11T20:09:42.975000+00:00,6.71,7.0,1024,421,,0
1783800582988,2026-07-11T20:09:42.988000+00:00,58.44,59.0,1024,421,,0
1783800583016,2026-07-11T20:09:43.016000+00:00,89.51,90.0,1024,421,,0
1783800583025,2026-07-11T20:09:43.025000+00:00,95.24,96.0,1024,421,,0
1783800583047,2026-07-11T20:09:43.047000+00:00,13.9,2902.0,1024,421,2887.36,1
1783800583096,2026-07-11T20:09:43.096000+00:00,142.03,143.0,1024,421,,0
1783800583123,2026-07-11T20:09:43.123000+00:00,47.71,48.0,1024,421,,0
1783800583936,2026-07-11T20:09:43.936000+00:00,12.49,13.0,1024,421,,0
1783800583969,2026-07-11T20:09:43.969000+00:00,45.34,46.0,1024,421,,0
1783800583977,2026-07-11T20:09:43.977000+00:00,23.32,24.0,1024,421,,0
1783800583990,2026-07-11T20:09:43.990000+00:00,56.47,57.0,1024,421,,0
1783800584000,2026-07-11T20:09:44+00:00,71.56,72.0,1024,421,,0
1783800584004,2026-07-11T20:09:44.004000+00:00,95.75,96.0,1024,421,,0
1783800584012,2026-07-11T20:09:44.012000+00:00,75.09,76.0,1024,421,,0
1783800584016,2026-07-11T20:09:44.016000+00:00,26.54,2815.0,1024,421,2787.68,1
1783800584033,2026-07-11T20:09:44.033000+00:00,72.57,73.0,1024,421,,0
1783800584113,2026-07-11T20:09:44.113000+00:00,36.59,37.0,1024,421,,0
1783800584133,2026-07-11T20:09:44.133000+00:00,91.34,92.0,1024,421,,0
1783800584964,2026-07-11T20:09:44.964000+00:00,35.92,36.0,1024,421,,0
1783800584968,2026-07-11T20:09:44.968000+00:00,6.08,7.0,1024,421,,0
1783800584976,2026-07-11T20:09:44.976000+00:00,37.5,38.0,1024,421,,0
1783800584976,2026-07-11T20:09:44.976000+00:00,44.21,45.0,1024,421,,0
1783800584988,2026-07-11T20:09:44.988000+00:00,50.43,51.0,1024,421,,0
