Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783722948,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783722949,1,,Aggregated,0.000000,0.000000,66,66,66,66,66,66,66,66,66,66,66,1,0,66.28920199909771,66.28920199909771,66.28920199909771,66.28920199909771,694.0
1783722950,1,,Aggregated,0.000000,0.000000,66,66,66,66,66,66,66,66,66,66,66,2,0,35.23664999920584,50.762925999151776,35.23664999920584,66.28920199909771,674.0
1783722951,2,,Aggregated,0.000000,0.000000,52,52,66,66,66,66,66,66,66,66,66,4,0,48,50.403110499246395,35.23664999920584,66.28920199909771,721.25
1783722952,3,,Aggregated,1.000000,0.000000,52,60,66,66,76,76,76,76,76,76,76,7,0,52,53.67050214226765,35.23664999920584,75.67712899981416,697.4285714285714
1783722953,4,,Aggregated,1.000000,0.000000,48,60,66,66,71,76,76,76,76,76,76,11,0,48,52.26479581770863,35.23664999920584,75.67712899981416,715.1818181818181
1783722954,5,,Aggregated,1.333333,0.000000,52,54,60,60,71,76,76,76,76,76,76,16,0,48,51.51718524973603,35.23664999920584,75.67712899981416,721.5
1783722955,6,,Aggregated,1.750000,0.000000,52,54,59,60,66,71,76,76,76,76,76,22,0,48,50.31740886343786,32.63340000012249,75.67712899981416,722.9090909090909
1783722956,7,,Aggregated,2.200000,0.000000,47,54,55,60,68,71,76,76,76,76,76,29,0,47,48.99167455155764,32.63340000012249,75.67712899981416,717.5172413793103
1783722957,8,,Aggregated,2.666667,0.000000,46,52,54,59,66,71,76,76,76,76,76,37,0,46,47.733790243099165,25.708356999530224,75.67712899981416,718.0540540540541
1783722958,9,,Aggregated,3.142857,0.000000,48,52,54,54,64,68,76,76,76,76,76,46,0,47,47.58638584762989,25.708356999530224,75.67712899981416,722.5
1783722959,10,,Aggregated,3.625000,0.000000,48,51,54,54,64,71,76,96,96,96,96,56,0,48,47.65892607127041,25.687082999866107,96.47304100144538,719.625
1783722960,10,,Aggregated,4.111111,0.000000,47,51,53,54,64,68,76,96,96,96,96,66,0,46,46.68135583327085,22.622516999035724,96.47304100144538,721.2575757575758
1783722961,10,,Aggregated,4.600000,0.000000,45,51,53,54,64,71,76,96,96,96,96,76,0,44,46.24001092100259,22.622516999035724,96.47304100144538,724.0263157894736
1783722962,10,,Aggregated,5.500000,0.000000,48,51,54,55,66,71,85,96,96,96,96,86,0,48,47.4660339185543,22.622516999035724,96.47304100144538,723.7674418604652
1783722963,10,,Aggregated,7.200000,0.000000,48,52,54,59,68,76,86,96,96,96,96,99,0,48,47.81258590904172,22.622516999035724,96.47304100144538,721.6666666666666
1783722964,10,,Aggregated,7.900000,0.000000,48,52,54,56,68,76,85,86,96,96,96,109,0,48,47.661639743094995,22.622516999035724,96.47304100144538,718.8440366972477
1783722965,10,,Aggregated,7.900000,0.000000,47,52,54,55,67,76,85,86,96,96,96,116,0,46,47.40084794824223,22.622516999035724,96.47304100144538,716.9137931034483
1783722966,10,,Aggregated,9.000000,0.000000,46,51,54,54,66,71,85,86,96,96,96,128,0,46,47.078671140596384,22.622516999035724,96.47304100144538,715.8046875
