Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783800936,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783800937,1,,Aggregated,0.000000,0.000000,76,76,76,76,76,76,76,76,76,76,76,1,0,75.9162929998638,75.9162929998638,75.9162929998638,75.9162929998638,712.0
1783800938,1,,Aggregated,0.000000,0.000000,76,76,76,76,76,76,76,76,76,76,76,2,0,50.143456000114384,63.02987449998909,50.143456000114384,75.9162929998638,795.5
1783800939,2,,Aggregated,0.000000,0.000000,76,76,76,76,76,76,76,76,76,76,76,4,0,56,64.3526245000885,50.143456000114384,75.9162929998638,776.25
1783800940,3,,Aggregated,1.000000,0.000000,68,76,76,76,86,86,86,86,86,86,86,7,0,68,67.68842771426924,50.143456000114384,85.53889999984676,766.4285714285714
1783800941,4,,Aggregated,1.000000,0.000000,66,76,76,76,81,86,86,86,86,86,86,11,0,66,67.89684045460572,50.143456000114384,85.53889999984676,739.8181818181819
1783800942,5,,Aggregated,1.333333,0.000000,68,71,76,76,81,86,86,86,86,86,86,16,0,66,65.39738137507811,34.926149000057194,85.53889999984676,744.9375
1783800943,6,,Aggregated,1.750000,0.000000,66,68,71,76,76,81,86,86,86,86,86,22,0,65,63.83482954557125,34.926149000057194,85.53889999984676,723.5
1783800944,7,,Aggregated,2.200000,0.000000,65,68,71,76,81,82,86,86,86,86,86,29,0,65,64.33437917254697,34.926149000057194,85.53889999984676,728.9310344827586
1783800945,8,,Aggregated,2.666667,0.000000,65,68,71,76,82,88,90,90,90,90,90,37,0,65,65.63463524336741,34.926149000057194,89.91945499928988,733.1081081081081
1783800946,9,,Aggregated,3.142857,0.000000,66,68,76,76,86,90,190,190,190,190,190,46,0,65,68.9732419783547,34.926149000057194,194.2912519998572,737.6086956521739
1783800947,10,,Aggregated,3.625000,0.000000,66,68,76,76,88,100,190,230,230,230,230,56,0,65,70.97085751797749,34.926149000057194,226.92415500023344,730.6785714285714
1783800948,10,,Aggregated,4.111111,0.000000,65,68,74,76,86,92,190,230,230,230,230,66,0,65,69.94339415161284,34.926149000057194,226.92415500023344,732.8333333333334
