timestamp_ms,timestamp_utc,duration_ms,billed_duration_ms,memory_size_mb,max_memory_used_mb,init_duration_ms,cold_start
1783802676135,2026-07-11T20:44:36.135000+00:00,70.68,71.0,3008,715,,0
1783802677075,2026-07-11T20:44:37.075000+00:00,33.33,34.0,3008,715,,0
1783802678071,2026-07-11T20:44:38.071000+00:00,28.57,29.0,3008,716,,0
1783802678185,2026-07-11T20:44:38.185000+00:00,107.84,108.0,3008,717,,0
1783802679068,2026-07-11T20:44:39.068000+00:00,23.54,24.0,3008,717,,0
1783802679104,2026-07-11T20:44:39.104000+00:00,31.23,32.0,3008,717,,0
1783802680072,2026-07-11T20:44:40.072000+00:00,22.48,23.0,3008,718,,0
1783802680185,2026-07-11T20:44:40.185000+00:00,108.07,109.0,3008,719,,0
1783802681078,2026-07-11T20:44:41.078000+00:00,33.51,34.0,3008,719,,0
1783802681197,2026-07-11T20:44:41.197000+00:00,110.62,111.0,3008,719,,0
1783802682089,2026-07-11T20:44:42.089000+00:00,40.08,41.0,3008,721,,0
1783802682125,2026-07-11T20:44:42.125000+00:00,30.66,31.0,3008,722,,0
1783802683088,2026-07-11T20:44:43.088000+00:00,33.92,34.0,3008,723,,0
1783802683204,2026-07-11T20:44:43.204000+00:00,111.28,112.0,3008,723,,0
1783802684071,2026-07-11T20:44:44.071000+00:00,21.11,22.0,3008,724,,0
1783802684186,2026-07-11T20:44:44.186000+00:00,109.65,110.0,3008,724,,0
1783802685069,2026-07-11T20:44:45.069000+00:00,19.64,20.0,3008,724,,0
1783802685185,2026-07-11T20:44:45.185000+00:00,110.54,111.0,3008,724,,0
1783802686068,2026-07-11T20:44:46.068000+00:00,15.41,16.0,3008,724,,0
1783802686119,2026-07-11T20:44:46.119000+00:00,46.26,47.0,3008,724,,0
1783802687066,2026-07-11T20:44:47.066000+00:00,16.62,17.0,3008,724,,0
1783802687422,2026-07-11T20:44:47.422000+00:00,117.78,8239.0,3008,713,8120.96,1
1783802687492,2026-07-11T20:44:47.492000+00:00,52.1,53.0,3008,714,,0
1783802688068,2026-07-11T20:44:48.068000+00:00,21.22,22.0,3008,715,,0
1783802688462,2026-07-11T20:44:48.462000+00:00,21.38,22.0,3008,715,,0
1783802689089,2026-07-11T20:44:49.089000+00:00,38.59,39.0,3008,717,,0
1783802689462,2026-07-11T20:44:49.462000+00:00,22.68,23.0,3008,717,,0
1783802690015,2026-07-11T20:44:50.015000+00:00,180.56,9668.0,3008,712,9487.34,1
1783802690019,2026-07-11T20:44:50.019000+00:00,145.05,8700.0,3008,714,8554.11,1
1783802690071,2026-07-11T20:44:50.071000+00:00,36.4,37.0,3008,715,,0
1783802690078,2026-07-11T20:44:50.078000+00:00,24.24,25.0,3008,718,,0
1783802690122,2026-07-11T20:44:50.122000+00:00,86.07,87.0,3008,715,,0
1783802690462,2026-07-11T20:44:50.462000+00:00,20.45,21.0,3008,715,,0
1783802691064,2026-07-11T20:44:51.064000+00:00,36.74,37.0,3008,716,,0
1783802691068,2026-07-11T20:44:51.068000+00:00,18.73,19.0,3008,715,,0
1783802691078,2026-07-11T20:44:51.078000+00:00,43.3,44.0,3008,720,,0
1783802691457,2026-07-11T20:44:51.457000+00:00,18.67,19.0,3008,720,,0
1783802691984,2026-07-11T20:44:51.984000+00:00,201.36,8666.0,3008,714,8464.0,1
1783802692048,2026-07-11T20:44:52.048000+00:00,15.28,16.0,3008,720,,0
1783802692064,2026-07-11T20:44:52.064000+00:00,26.97,27.0,3008,716,,0
1783802692096,2026-07-11T20:44:52.096000+00:00,97.41,98.0,3008,715,,0
1783802692114,2026-07-11T20:44:52.114000+00:00,60.94,61.0,3008,718,,0
1783802692466,2026-07-11T20:44:52.466000+00:00,21.4,22.0,3008,718,,0
1783802692685,2026-07-11T20:44:52.685000+00:00,118.74,8406.0,3008,712,8286.7,1
1783802692762,2026-07-11T20:44:52.762000+00:00,61.54,62.0,3008,714,,0
1783802693056,2026-07-11T20:44:53.056000+00:00,57.96,58.0,3008,717,,0
1783802693057,2026-07-11T20:44:53.057000+00:00,28.58,29.0,3008,719,,0
1783802693070,2026-07-11T20:44:53.070000+00:00,19.6,20.0,3008,717,,0
1783802693078,2026-07-11T20:44:53.078000+00:00,43.0,43.0,3008,718,,0
1783802693475,2026-07-11T20:44:53.475000+00:00,30.14,31.0,3008,719,,0
1783802693725,2026-07-11T20:44:53.725000+00:00,24.18,25.0,3008,719,,0
1783802694024,2026-07-11T20:44:54.024000+00:00,22.76,23.0,3008,720,,0
1783802694052,2026-07-11T20:44:54.052000+00:00,26.26,27.0,3008,717,,0
1783802694096,2026-07-11T20:44:54.096000+00:00,43.98,44.0,3008,720,,0
1783802694144,2026-07-11T20:44:54.144000+00:00,100.48,101.0,3008,720,,0
1783802694224,2026-07-11T20:44:54.224000+00:00,162.42,9000.0,3008,714,8836.99,1
1783802694334,2026-07-11T20:44:54.334000+00:00,88.05,89.0,3008,715,,0
1783802694499,2026-07-11T20:44:54.499000+00:00,54.58,55.0,3008,719,,0
1783802694745,2026-07-11T20:44:54.745000+00:00,37.84,38.0,3008,720,,0
1783802695034,2026-07-11T20:44:55.034000+00:00,33.43,34.0,3008,721,,0
1783802695055,2026-07-11T20:44:55.055000+00:00,24.25,25.0,3008,721,,0
1783802695056,2026-07-11T20:44:55.056000+00:00,21.3,22.0,3008,721,,0
1783802695086,2026-07-11T20:44:55.086000+00:00,19.59,20.0,3008,721,,0
1783802695134,2026-07-11T20:44:55.134000+00:00,129.94,8828.0,3008,712,8697.09,1
1783802695244,2026-07-11T20:44:55.244000+00:00,93.96,94.0,3008,714,,0
1783802695274,2026-07-11T20:44:55.274000+00:00,28.07,29.0,3008,721,,0
1783802695459,2026-07-11T20:44:55.459000+00:00,17.35,18.0,3008,722,,0
1783802695719,2026-07-11T20:44:55.719000+00:00,17.0,18.0,3008,722,,0
1783802696023,2026-07-11T20:44:56.023000+00:00,22.99,23.0,3008,722,,0
1783802696052,2026-07-11T20:44:56.052000+00:00,23.49,24.0,3008,715,,0
1783802696068,2026-07-11T20:44:56.068000+00:00,16.11,17.0,3008,721,,0
1783802696097,2026-07-11T20:44:56.097000+00:00,61.32,62.0,3008,722,,0
1783802696216,2026-07-11T20:44:56.216000+00:00,56.95,57.0,3008,723,,0
1783802696331,2026-07-11T20:44:56.331000+00:00,90.89,91.0,3008,723,,0
1783802696456,2026-07-11T20:44:56.456000+00:00,15.51,16.0,3008,723,,0
1783802696524,2026-07-11T20:44:56.524000+00:00,8056.02,8057.0,3008,712,,0
1783802696629,2026-07-11T20:44:56.629000+00:00,84.77,85.0,3008,715,,0
1783802696949,2026-07-11T20:44:56.949000+00:00,244.76,245.0,3008,717,,0
1783802697032,2026-07-11T20:44:57.032000+00:00,28.84,29.0,3008,717,,0
1783802697050,2026-07-11T20:44:57.050000+00:00,14.83,15.0,3008,721,,0
1783802697056,2026-07-11T20:44:57.056000+00:00,27.86,28.0,3008,724,,0
1783802697155,2026-07-11T20:44:57.155000+00:00,103.83,104.0,3008,719,,0
1783802697176,2026-07-11T20:44:57.176000+00:00,24.09,25.0,3008,724,,0
1783802697301,2026-07-11T20:44:57.301000+00:00,60.16,61.0,3008,726,,0
1783802697456,2026-07-11T20:44:57.456000+00:00,16.56,17.0,3008,726,,0
1783802697576,2026-07-11T20:44:57.576000+00:00,35.74,36.0,3008,727,,0
1783802697719,2026-07-11T20:44:57.719000+00:00,17.02,18.0,3008,727,,0
1783802698022,2026-07-11T20:44:58.022000+00:00,20.41,21.0,3008,728,,0
1783802698071,2026-07-11T20:44:58.071000+00:00,34.69,35.0,3008,719,,0
1783802698072,2026-07-11T20:44:58.072000+00:00,22.83,23.0,3008,722,,0
1783802698138,2026-07-11T20:44:58.138000+00:00,108.05,109.0,3008,728,,0
1783802698256,2026-07-11T20:44:58.256000+00:00,103.55,104.0,3008,728,,0
1783802698264,2026-07-11T20:44:58.264000+00:00,20.39,21.0,3008,722,,0
1783802698463,2026-07-11T20:44:58.463000+00:00,24.39,25.0,3008,722,,0
1783802698586,2026-07-11T20:44:58.586000+00:00,45.49,46.0,3008,724,,0
1783802698725,2026-07-11T20:44:58.725000+00:00,22.63,23.0,3008,724,,0
1783802699021,2026-07-11T20:44:59.021000+00:00,18.71,19.0,3008,724,,0
1783802699062,2026-07-11T20:44:59.062000+00:00,17.02,18.0,3008,728,,0
1783802699141,2026-07-11T20:44:59.141000+00:00,113.84,114.0,3008,724,,0
1783802699151,2026-07-11T20:44:59.151000+00:00,101.69,102.0,3008,719,,0
1783802699239,2026-07-11T20:44:59.239000+00:00,82.34,83.0,3008,724,,0
1783802699287,2026-07-11T20:44:59.287000+00:00,44.48,45.0,3008,720,,0
1783802699467,2026-07-11T20:44:59.467000+00:00,27.66,28.0,3008,720,,0
1783802699613,2026-07-11T20:44:59.613000+00:00,73.33,74.0,3008,720,,0
1783802699741,2026-07-11T20:44:59.741000+00:00,41.54,42.0,3008,720,,0
1783802699938,2026-07-11T20:44:59.938000+00:00,7567.33,7568.0,3008,715,,0
1783802700014,2026-07-11T20:45:00.014000+00:00,65.7,66.0,3008,716,,0
1783802700039,2026-07-11T20:45:00.039000+00:00,33.48,34.0,3008,721,,0
1783802700114,2026-07-11T20:45:00.114000+00:00,21.68,22.0,3008,724,,0
1783802700122,2026-07-11T20:45:00.122000+00:00,33.77,34.0,3008,716,,0
1783802700211,2026-07-11T20:45:00.211000+00:00,130.63,131.0,3008,723,,0
1783802700239,2026-07-11T20:45:00.239000+00:00,82.43,83.0,3008,719,,0
1783802700328,2026-07-11T20:45:00.328000+00:00,90.12,91.0,3008,723,,0
1783802700462,2026-07-11T20:45:00.462000+00:00,16.41,17.0,3008,723,,0
1783802700605,2026-07-11T20:45:00.605000+00:00,65.14,66.0,3008,723,,0
1783802700877,2026-07-11T20:45:00.877000+00:00,170.6,171.0,3008,724,,0
1783802701045,2026-07-11T20:45:01.045000+00:00,84.52,85.0,3008,724,,0
1783802701047,2026-07-11T20:45:01.047000+00:00,35.34,36.0,3008,720,,0
1783802701050,2026-07-11T20:45:01.050000+00:00,18.81,19.0,3008,725,,0
1783802701056,2026-07-11T20:45:01.056000+00:00,19.21,20.0,3008,729,,0
1783802701164,2026-07-11T20:45:01.164000+00:00,105.73,106.0,3008,725,,0
1783802701178,2026-07-11T20:45:01.178000+00:00,22.2,23.0,3008,729,,0
1783802701295,2026-07-11T20:45:01.295000+00:00,49.24,50.0,3008,729,,0
1783802701465,2026-07-11T20:45:01.465000+00:00,23.73,24.0,3008,729,,0
1783802701588,2026-07-11T20:45:01.588000+00:00,45.39,46.0,3008,730,,0
1783802701732,2026-07-11T20:45:01.732000+00:00,26.23,27.0,3008,730,,0
1783802701977,2026-07-11T20:45:01.977000+00:00,16.09,17.0,3008,730,,0
1783802702053,2026-07-11T20:45:02.053000+00:00,16.56,17.0,3008,725,,0
1783802702086,2026-07-11T20:45:02.086000+00:00,46.38,47.0,3008,725,,0
1783802702088,2026-07-11T20:45:02.088000+00:00,28.62,29.0,3008,721,,0
1783802702097,2026-07-11T20:45:02.097000+00:00,96.56,97.0,3008,731,,0
1783802702218,2026-07-11T20:45:02.218000+00:00,66.26,67.0,3008,731,,0
1783802702338,2026-07-11T20:45:02.338000+00:00,95.19,96.0,3008,731,,0
1783802702482,2026-07-11T20:45:02.482000+00:00,35.83,36.0,3008,732,,0
1783802702573,2026-07-11T20:45:02.573000+00:00,36.31,37.0,3008,732,,0
1783802702722,2026-07-11T20:45:02.722000+00:00,18.41,19.0,3008,732,,0
1783802702974,2026-07-11T20:45:02.974000+00:00,18.68,19.0,3008,732,,0
1783802703055,2026-07-11T20:45:03.055000+00:00,29.02,30.0,3008,721,,0
1783802703076,2026-07-11T20:45:03.076000+00:00,21.81,22.0,3008,725,,0
1783802703082,2026-07-11T20:45:03.082000+00:00,42.51,43.0,3008,726,,0
1783802703094,2026-07-11T20:45:03.094000+00:00,92.06,93.0,3008,732,,0
1783802703170,2026-07-11T20:45:03.170000+00:00,21.32,22.0,3008,732,,0
1783802703292,2026-07-11T20:45:03.292000+00:00,46.88,47.0,3008,732,,0
1783802703459,2026-07-11T20:45:03.459000+00:00,15.85,16.0,3008,732,,0
1783802703583,2026-07-11T20:45:03.583000+00:00,43.38,44.0,3008,733,,0
1783802703728,2026-07-11T20:45:03.728000+00:00,21.6,22.0,3008,733,,0
1783802703967,2026-07-11T20:45:03.967000+00:00,15.26,16.0,3008,733,,0
1783802704064,2026-07-11T20:45:04.064000+00:00,21.86,22.0,3008,726,,0
1783802704064,2026-07-11T20:45:04.064000+00:00,31.82,32.0,3008,726,,0
1783802704077,2026-07-11T20:45:04.077000+00:00,74.9,75.0,3008,733,,0
1783802704088,2026-07-11T20:45:04.088000+00:00,39.47,40.0,3008,723,,0
1783802704204,2026-07-11T20:45:04.204000+00:00,52.68,53.0,3008,724,,0
1783802704325,2026-07-11T20:45:04.325000+00:00,83.99,84.0,3008,724,,0
1783802704477,2026-07-11T20:45:04.477000+00:00,36.45,37.0,3008,724,,0
1783802704608,2026-07-11T20:45:04.608000+00:00,66.62,67.0,3008,724,,0
1783802704738,2026-07-11T20:45:04.738000+00:00,28.33,29.0,3008,724,,0
1783802704995,2026-07-11T20:45:04.995000+00:00,41.47,42.0,3008,725,,0
1783802705043,2026-07-11T20:45:05.043000+00:00,15.75,16.0,3008,733,,0
1783802705058,2026-07-11T20:45:05.058000+00:00,23.73,24.0,3008,726,,0
1783802705068,2026-07-11T20:45:05.068000+00:00,21.02,22.0,3008,726,,0
1783802705127,2026-07-11T20:45:05.127000+00:00,117.8,118.0,3008,725,,0
1783802705253,2026-07-11T20:45:05.253000+00:00,98.58,99.0,3008,725,,0
1783802705267,2026-07-11T20:45:05.267000+00:00,27.46,28.0,3008,726,,0
1783802705464,2026-07-11T20:45:05.464000+00:00,21.85,22.0,3008,726,,0
1783802705586,2026-07-11T20:45:05.586000+00:00,46.83,47.0,3008,727,,0
1783802705719,2026-07-11T20:45:05.719000+00:00,19.12,20.0,3008,728,,0
1783802705969,2026-07-11T20:45:05.969000+00:00,16.88,17.0,3008,728,,0
1783802706068,2026-07-11T20:45:06.068000+00:00,17.18,18.0,3008,733,,0
1783802706085,2026-07-11T20:45:06.085000+00:00,79.75,80.0,3008,728,,0
1783802706092,2026-07-11T20:45:06.092000+00:00,64.43,65.0,3008,725,,0
1783802706157,2026-07-11T20:45:06.157000+00:00,118.66,119.0,3008,726,,0
1783802706201,2026-07-11T20:45:06.201000+00:00,47.85,48.0,3008,726,,0
1783802706323,2026-07-11T20:45:06.323000+00:00,72.19,73.0,3008,726,,0
1783802706464,2026-07-11T20:45:06.464000+00:00,23.47,24.0,3008,726,,0
1783802706583,2026-07-11T20:45:06.583000+00:00,42.38,43.0,3008,726,,0
1783802706721,2026-07-11T20:45:06.721000+00:00,20.5,21.0,3008,726,,0
1783802706978,2026-07-11T20:45:06.978000+00:00,25.95,26.0,3008,727,,0
1783802707067,2026-07-11T20:45:07.067000+00:00,16.55,17.0,3008,733,,0
1783802707069,2026-07-11T20:45:07.069000+00:00,33.22,34.0,3008,730,,0
1783802707080,2026-07-11T20:45:07.080000+00:00,79.94,80.0,3008,727,,0
1783802707084,2026-07-11T20:45:07.084000+00:00,40.97,41.0,3008,726,,0
1783802707189,2026-07-11T20:45:07.189000+00:00,33.86,34.0,3008,727,,0
1783802707317,2026-07-11T20:45:07.317000+00:00,74.31,75.0,3008,727,,0
1783802707496,2026-07-11T20:45:07.496000+00:00,48.44,49.0,3008,727,,0
1783802707614,2026-07-11T20:45:07.614000+00:00,76.34,77.0,3008,727,,0
1783802707729,2026-07-11T20:45:07.729000+00:00,25.49,26.0,3008,728,,0
1783802708025,2026-07-11T20:45:08.025000+00:00,24.5,25.0,3008,727,,0
1783802708046,2026-07-11T20:45:08.046000+00:00,15.5,16.0,3008,730,,0
1783802708067,2026-07-11T20:45:08.067000+00:00,25.88,26.0,3008,727,,0
1783802708075,2026-07-11T20:45:08.075000+00:00,23.78,24.0,3008,734,,0
1783802708089,2026-07-11T20:45:08.089000+00:00,138.57,139.0,3008,728,,0
1783802708242,2026-07-11T20:45:08.242000+00:00,88.16,89.0,3008,728,,0
1783802708265,2026-07-11T20:45:08.265000+00:00,18.34,19.0,3008,734,,0
1783802708458,2026-07-11T20:45:08.458000+00:00,19.34,20.0,3008,734,,0
1783802708579,2026-07-11T20:45:08.579000+00:00,39.18,40.0,3008,734,,0
1783802708720,2026-07-11T20:45:08.720000+00:00,16.43,17.0,3008,734,,0
1783802708974,2026-07-11T20:45:08.974000+00:00,20.35,21.0,3008,734,,0
1783802709054,2026-07-11T20:45:09.054000+00:00,26.96,27.0,3008,729,,0
1783802709061,2026-07-11T20:45:09.061000+00:00,24.29,25.0,3008,727,,0
1783802709078,2026-07-11T20:45:09.078000+00:00,23.93,24.0,3008,730,,0
1783802709095,2026-07-11T20:45:09.095000+00:00,95.36,96.0,3008,734,,0
1783802709218,2026-07-11T20:45:09.218000+00:00,63.21,64.0,3008,734,,0
1783802709340,2026-07-11T20:45:09.340000+00:00,95.43,96.0,3008,734,,0
1783802709489,2026-07-11T20:45:09.489000+00:00,44.46,45.0,3008,735,,0
1783802709604,2026-07-11T20:45:09.604000+00:00,61.53,62.0,3008,735,,0
1783802709730,2026-07-11T20:45:09.730000+00:00,26.78,27.0,3008,735,,0
1783802709968,2026-07-11T20:45:09.968000+00:00,16.48,17.0,3008,735,,0
1783802710043,2026-07-11T20:45:10.043000+00:00,16.21,17.0,3008,730,,0
1783802710064,2026-07-11T20:45:10.064000+00:00,26.98,27.0,3008,727,,0
1783802710089,2026-07-11T20:45:10.089000+00:00,84.05,85.0,3008,735,,0
1783802710163,2026-07-11T20:45:10.163000+00:00,113.09,114.0,3008,730,,0
1783802710205,2026-07-11T20:45:10.205000+00:00,54.57,55.0,3008,735,,0
1783802710319,2026-07-11T20:45:10.319000+00:00,77.94,78.0,3008,735,,0
1783802710455,2026-07-11T20:45:10.455000+00:00,15.26,16.0,3008,735,,0
1783802710573,2026-07-11T20:45:10.573000+00:00,32.41,33.0,3008,735,,0
1783802710722,2026-07-11T20:45:10.722000+00:00,19.13,20.0,3008,735,,0
1783802710973,2026-07-11T20:45:10.973000+00:00,18.33,19.0,3008,735,,0
1783802711056,2026-07-11T20:45:11.056000+00:00,18.7,19.0,3008,727,,0
1783802711058,2026-07-11T20:45:11.058000+00:00,27.07,28.0,3008,731,,0
1783802711096,2026-07-11T20:45:11.096000+00:00,93.64,94.0,3008,735,,0
1783802711169,2026-07-11T20:45:11.169000+00:00,117.71,118.0,3008,729,,0
1783802711173,2026-07-11T20:45:11.173000+00:00,16.22,17.0,3008,735,,0
1783802711293,2026-07-11T20:45:11.293000+00:00,43.1,44.0,3008,735,,0
1783802711457,2026-07-11T20:45:11.457000+00:00,18.73,19.0,3008,735,,0
1783802711569,2026-07-11T20:45:11.569000+00:00,28.51,29.0,3008,735,,0
1783802711748,2026-07-11T20:45:11.748000+00:00,42.12,43.0,3008,737,,0
1783802711968,2026-07-11T20:45:11.968000+00:00,16.13,17.0,3008,737,,0
1783802712061,2026-07-11T20:45:12.061000+00:00,19.89,20.0,3008,731,,0
1783802712070,2026-07-11T20:45:12.070000+00:00,18.71,19.0,3008,728,,0
1783802712093,2026-07-11T20:45:12.093000+00:00,82.19,83.0,3008,737,,0
1783802712183,2026-07-11T20:45:12.183000+00:00,157.69,158.0,3008,729,,0
1783802712204,2026-07-11T20:45:12.204000+00:00,48.62,49.0,3008,737,,0
1783802712321,2026-07-11T20:45:12.321000+00:00,79.96,80.0,3008,737,,0
1783802712469,2026-07-11T20:45:12.469000+00:00,15.81,16.0,3008,737,,0
1783802712590,2026-07-11T20:45:12.590000+00:00,48.71,49.0,3008,737,,0
1783802712725,2026-07-11T20:45:12.725000+00:00,16.37,17.0,3008,737,,0
1783802712973,2026-07-11T20:45:12.973000+00:00,15.14,16.0,3008,737,,0
1783802713064,2026-07-11T20:45:13.064000+00:00,23.47,24.0,3008,728,,0
1783802713070,2026-07-11T20:45:13.070000+00:00,40.01,41.0,3008,729,,0
1783802713081,2026-07-11T20:45:13.081000+00:00,31.9,32.0,3008,732,,0
